No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol, ,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
344,YOR245C,1.0, ,1.0,1.0,1.0, ,,,,,
345,YGR282C,1.0, ,1.0,1.0,1.0, ,,,,,
346,YDL198C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
347,YOR236W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
348,YNR043W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
349,YOR360C,1.0, ,1.0,1.0,1.0, ,,,,,
350,YOR335C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
351,UNKNOWN,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
352,YGR204W,0.0, ,-0.0,-0.0,0.0, ,0,0,0,0,0
353,YJL005W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
354,YOL065C,1.0, ,1.0,1.0,1.0, ,,,,,
355,YHR044C,1.0, ,1.0,1.0,1.0, ,,,,,
356,YFL001W,1.0, ,1.0,1.0,1.0, ,,,,,
357,YKL217W,1.0, ,1.0,1.0,1.0, ,,,,,
358,YJR016C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
359,YDL100C,1.0, ,1.0,1.0,1.0, ,,,,,
360,YOR095C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
361,YEL038W,1.0, ,1.0,1.0,1.0, ,,,,,
362,YGR185C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
363,YOR377W,1.0, ,1.0,1.0,1.0, ,,,,,
364,YPL265W,1.0, ,1.0,1.0,1.0, ,,,,,
365,YKL001C,1.0, ,1.0,1.0,1.0, ,,,,,
366,YMR271C,1.0, ,1.0,1.0,1.0, ,,,,,
367,YKL216W,1.0, ,1.0,1.0,1.0, ,,,,,
368,YDR441C,1.0, ,1.0,1.0,1.0, ,,,,,
369,YBR034C,1.0, ,1.0,1.0,1.0, ,,,,,
370,YMR296C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
371,YPL023C,1.0, ,1.0,1.0,1.0, ,,,,,
372,YER090W,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
373,YGR199W,1.0, ,1.0,1.0,1.0, ,,,,,
374,YPL212C,1.0, ,1.0,1.0,1.0, ,,,,,
375,YMR145C,1.0, ,1.0,1.0,1.0, ,,,,,
376,YNL280C,0.0, ,0.0,0.0,0.0, ,,,,,
377,YDR007W,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
378,YIL160C,1.0, ,1.0,1.0,1.0, ,,,,,
379,YNR072W,1.0, ,1.0,1.0,1.0, ,,,,,
380,YML022W,1.0, ,1.0,1.0,1.0, ,0,0,0,0,0
381,YDR062W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
382,YPR159W,1.0, ,1.0,1.0,1.0, ,,,,,
383,YDR017C,1.0, ,1.0,1.0,1.0, ,,,,,
384,YMR303C,1.0, ,1.0,1.0,1.0, ,,,,,
