 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol,
 ,509,YNR034W,1,0,0,1,
 ,510,YLR189C,1,0,0,1,
 ,511,YOL061W,1,0,0,1,
 ,512,YLR195C,1,0,0,1,
 ,513,YMR250W,0,1,0,1,
 ,514,YDR483W,1,0,0,1,
 ,515,YFL030W,0.996778791,0.996778791,1,0.985709306,
 ,516,YGR254W,1,0,0,1,
 ,517,YER061C,1,1,0,0.999999998,
 ,518,YNL111C,1,1,1,1,
 ,519,YOR168W,1,0,0,1,
 ,520,YLR231C,1,0,0,0.999999998,
 ,521,YKL184W,1,1,1,0.999999998,
 ,522,YNL129W,0,1,0.999999998,1,
 ,523,YJR139C,-2.38E-11,-2.03E-11,-7.09E-12,-1.55E-10,
 ,524,YKL016C,0,0,0,0,
 ,525,YPL111W,0.999999999,0,0.999999999,0,
 ,526,YER183C,1,0,0,1,
 ,527,YLR160C,1,0,0,1,
 ,528,YKL174C,1,1,1,1,
 ,529,YDL066W,0.997045718,0,0.997227016,0.998673223,
 ,530,YOR130C,-3.73E-11,-1.71E-11,-3.70E-11,0,
 ,531,YKR093W,1,0,0,1,
 ,532,YMR319C,1,1,1,1,
 ,533,YOL066C,0,-1.15E-11,-3.98E-11,0,
 ,534,YBR085W,1,0,0,1,
 ,535,YBR184W,1,0,0,1,
 ,536,YCR098C,0.999999999,1,0,0.999999996,
 ,537,YKL026C,1,0,0,1,
 ,538,YKL212W,1,0,0,1,
 ,539,YNR050C,0,0,0,0,
 ,540,YJR078W,0,0,0,0.999999996,
 ,541,YPL188W,1,0,0,1,
 ,542,YOL033W,1,0,0,1,
 ,543,YGR180C,1,1,1,0,
 ,544,YNL073W,1,0,0,1,
 ,545,YOR374W,1,1,0.999999997,0,
 ,546,YFR047C,1,1,0,1,
 ,547,YBR132C,1,1,0,0.999999997,
 ,548,YML110C,1,1,0,0.999999999,
 ,549,YOL011W,1,0,0,1,
 ,550,YLR372W,1,1,1,0.999999998,
 ,551,YPR138C,1,0,0,1,
 ,552,YPL276W,1,0,0,1,
 ,553,YAR075W,1,0,0,1,
 ,554,YOR171C,1,0,0,1,
 ,555,YBR248C,1,0,0,1,
 ,556,YHL016C,1,1,1,0.999999996,
 ,557,YLR201C,1,1,0,0.999999999,
 ,558,YFL017C,1,0,0,1,
 ,559,YDL168W,0,1,1.000000002,0.999999999,
 ,560,YIL134W,1,1,1,0.999999998,
 ,561,YDR236C,0.999999999,0,1,0.999999999,
 ,562,YKL106W,1,1,0.998564703,0.998945191,
 ,563,YLR307W,1,0,0,1,
 ,564,YCR053W,0,0,0,0,
 ,565,YER005W,1,1,1.000000001,0.999999999,
 ,566,YGL063W,1,0,0,1,
 ,567,YIL053W,1,0,0,1,
 ,568,YGL148W,0,0,0,0,
 ,569,YNL192W,1,0,0,1,
 ,570,YCL035C,1,0,0,1,
 ,571,YKR053C,1,0,0,1,
 ,572,YLR420W,1,0,0,1,
 ,573,YOL056W,1,0,0,1,
 ,574,YHR144C,0.999969967,0.999969967,0.999971613,0.999979147,
